fps,explained_variance,policy_loss,n_updates,ep_reward_mean,serial_timesteps,value_loss,policy_entropy,approxkl,total_timesteps,time_elapsed,clipfrac,ep_len_mean
333,0.9941108943894506,-0.0005402368,182,67.72,372736,0.8694626,0.45260295,0.0049320487,372736,1106.0942380428314,0.05859375,205.92
329,0.996434484841302,0.0017714774,183,63.9,374784,0.47451472,0.44559652,0.0040126103,374784,1112.243653535843,0.04560547,203.02
332,0.9953350061550736,0.0005887628,184,62.67,376832,0.6428324,0.44241,0.006987174,376832,1118.4577202796936,0.09038086,203.02
329,0.9933077786117792,0.00064649014,185,62.72,378880,1.5011697,0.4288736,0.006047494,378880,1124.6265044212341,0.0715332,203.36
327,0.9944889638572931,0.0010901997,186,64.78,380928,1.3086345,0.43061948,0.0057373485,380928,1130.845507144928,0.0703125,206.11
332,0.9944201749749482,0.0016880604,187,64.92,382976,1.0030171,0.44488716,0.004567527,382976,1137.1029510498047,0.05444336,206.2
332,0.9961478295736015,0.0013052595,188,63.15,385024,0.48514763,0.45027074,0.005070291,385024,1143.2688915729523,0.059912108,204.05
320,0.9949410213157535,0.00085169903,189,65.51,387072,1.1763475,0.4449532,0.0040301215,387072,1149.4288012981415,0.042285156,206.96
331,0.9980372323188931,1.7950451e-05,190,64.68,389120,0.32408854,0.427188,0.0038684711,389120,1155.8140842914581,0.042285156,205.6
328,0.9945409232750535,0.0011759598,191,70.02,391168,1.9617138,0.41883078,0.004515267,391168,1161.9975640773773,0.05253906,209.96
329,0.9959602560847998,0.001155152,192,72.01,393216,0.91138965,0.42110425,0.008056809,393216,1168.2251071929932,0.09887695,211.12
332,0.9974078228697181,-0.0011392955,193,74.44,395264,0.6312888,0.40706435,0.008720769,395264,1174.4398164749146,0.099609375,213.17
330,0.9972721713129431,0.0013735888,194,73.44,397312,0.40896302,0.39994684,0.006347296,397312,1180.5986323356628,0.08017578,212.97
329,0.9957944354973733,0.0007011174,195,72.25,399360,0.7286247,0.39339647,0.0055186315,399360,1186.7929627895355,0.06591797,210.96
330,0.9950822768732905,0.0013434525,196,72.51,401408,1.1352197,0.38615686,0.0051673045,401408,1193.0065586566925,0.06547852,212.02
340,0.9955750303342938,0.00042874244,197,70.92,403456,0.7613278,0.3859101,0.0048560495,403456,1199.2117788791656,0.05859375,210.88
331,0.996317440411076,-0.0006942904,198,71.47,405504,0.71088463,0.38608375,0.004529074,405504,1205.227740764618,0.054101564,212.19
329,0.996909162029624,0.0007032768,199,71.34,407552,0.63424194,0.38224432,0.004042034,407552,1211.4098534584045,0.045214843,211.32
334,0.9959768084809184,-0.00071491423,200,71.03,409600,0.64338154,0.37824422,0.0057871416,409600,1217.631998538971,0.07368164,211.78
