serial_timesteps,explained_variance,total_timesteps,approxkl,policy_entropy,clipfrac,fps,policy_loss,n_updates,time_elapsed,value_loss,ep_len_mean,ep_reward_mean
274432,0.777296170592308,274432,0.0031597358,1.4184854,0.033740234,97,-0.0021933576,134,1593.595808506012,12.394515,825.09,380.47031837000003
276480,0.9546470791101456,276480,0.0037307008,1.4239763,0.04560547,190,-0.0044747414,135,1614.5205433368683,1.2807672,820.21,378.74479494
278528,0.7979060113430023,278528,0.004243096,1.4303997,0.050927736,125,-0.004661147,136,1625.2608637809753,12.241537,839.27,392.86935939
280576,0.8563618957996368,280576,0.004655585,1.4380486,0.05292969,134,-0.001850451,137,1641.6259117126465,9.371676,829.92,389.87508596
282624,0.7527593225240707,282624,0.0047426485,1.4503711,0.058740236,123,-0.0029014403,138,1656.8441162109375,14.32506,831.02,391.21799416
284672,0.737766683101654,284672,0.0064073773,1.4541681,0.0758789,98,-0.0025710207,139,1673.4376275539398,12.341249,835.54,396.13714453999995
286720,0.7659189701080322,286720,0.0036851063,1.4609706,0.04169922,120,-0.002294566,140,1694.275083065033,13.707669,836.81,398.78188477
288768,0.7872489094734192,288768,0.006123702,1.4727696,0.074121095,120,-0.0055168164,141,1711.2671880722046,11.1674595,795.4,375.87050000999994
290816,0.7663063853979111,290816,0.0055705477,1.4795239,0.06938477,115,-0.00591138,142,1728.2171239852905,12.6695385,788.49,373.4562519599999
292864,0.7302875816822052,292864,0.0042984295,1.4774231,0.049853515,100,-0.0037594114,143,1746.0061995983124,15.921412,774.59,366.77030469
294912,0.7920685112476349,294912,0.003920124,1.4710844,0.04506836,107,-0.0025328991,144,1766.3428854942322,11.55878,740.04,348.7662753799999
296960,0.8101973980665207,296960,0.0034169722,1.4833795,0.039990235,107,0.000184451,145,1785.4536156654358,11.652739,715.86,337.02347655000005
299008,0.7898170500993729,299008,0.0054366156,1.4920982,0.06743164,109,-0.0039286884,146,1804.5261862277985,13.325686,702.92,331.29397069
301056,0.8039708137512207,301056,0.0045033386,1.4934764,0.054541014,105,-0.003137159,147,1823.2082533836365,13.1672,692.62,327.03912499
303104,0.8233614861965179,303104,0.003856526,1.5027401,0.04501953,95,-0.0037527555,148,1842.6332886219025,10.767046,675.3,318.85090233999995
305152,0.7976842522621155,305152,0.0053316886,1.5163009,0.06333008,66,-0.0024919535,149,1864.1199464797974,12.602514,672.24,317.68504490000004
